Date,Product,Category,Region,Sales,Cost
2024-07-08,Samsung TV,Electronics,North,1496.02,857.92
2024-06-11,Gaming Console,Electronics,North,1201.46,612.19
2024-07-19,Microwave,Kitchen,North,1144.43,818.05
2024-11-25,Jeans,Apparel,East,1628.39,817.37
2024-07-31,Office Chair,Furniture,East,353.19,278.02
2024-12-13,Samsung TV,Electronics,East,1702.61,1159.68
2024-08-30,Gaming Console,Electronics,North,1947.58,1194.96
2024-08-12,Microwave,Kitchen,East,1175.84,836.46
2024-12-09,Sofa,Furniture,North,1717.87,1305.49
2024-08-06,Office Chair,Furniture,South,771.85,434.44
2024-05-16,Samsung TV,Electronics,South,1091.57,625.95
2024-02-07,Gaming Console,Electronics,South,1385.0,1042.7
2024-06-16,iPhone 13,Electronics,East,832.27,432.66
2024-03-13,Office Chair,Furniture,South,1328.11,821.69
2024-09-20,Sofa,Furniture,South,530.92,354.87
2024-11-02,Microwave,Kitchen,West,755.89,604.11
2024-02-07,iPhone 13,Electronics,North,348.04,190.72
2024-02-04,Running Shoes,Apparel,West,1211.98,776.17
2024-01-10,iPhone 13,Electronics,North,1379.34,911.87
2024-05-20,Samsung TV,Electronics,East,897.79,571.1
2024-09-27,Sofa,Furniture,South,1039.98,553.19
2024-10-30,Gaming Console,Electronics,South,348.04,253.64
2024-10-01,Gaming Console,Electronics,North,1217.94,787.5
2024-09-14,Sofa,Furniture,South,162.95,124.4
2024-05-15,Jeans,Apparel,North,1957.07,1291.3
2024-10-27,Gaming Console,Electronics,South,566.86,431.79
2024-05-21,Gaming Console,Electronics,South,1440.25,892.52
2024-04-10,Gaming Console,Electronics,West,285.96,162.26
2024-07-05,Blender,Kitchen,South,64.02,45.6
2024-09-27,iPhone 13,Electronics,East,188.17,107.52
2024-12-04,Air Fryer,Kitchen,West,523.84,336.25
2024-10-19,Running Shoes,Apparel,East,875.98,560.72
2024-07-22,Samsung TV,Electronics,North,835.11,502.56
2024-02-27,Blender,Kitchen,West,323.36,179.48
2024-05-05,Samsung TV,Electronics,West,1625.64,1230.27
2024-04-02,Gaming Console,Electronics,North,1939.54,1508.79
2024-05-16,Jeans,Apparel,West,466.81,289.57
2024-11-14,Running Shoes,Apparel,East,1856.71,1365.68
2024-06-25,Gaming Console,Electronics,West,351.85,207.24
2024-10-03,Gaming Console,Electronics,North,1508.55,780.15
2024-10-28,Gaming Console,Electronics,South,160.92,104.98
2024-03-14,Samsung TV,Electronics,South,837.36,655.22
2024-11-17,iPhone 13,Electronics,North,867.49,585.64
2024-05-15,Blender,Kitchen,East,515.44,318.92
2024-07-02,Office Chair,Furniture,North,68.17,46.79
2024-12-14,Gaming Console,Electronics,South,1036.48,559.43
2024-06-18,Blender,Kitchen,East,605.73,382.49
2024-01-27,Gaming Console,Electronics,North,1352.33,901.17
2024-11-10,Air Fryer,Kitchen,East,275.09,146.38
2024-05-10,Microwave,Kitchen,South,1449.34,813.19
2024-11-21,Jeans,Apparel,East,1815.41,1368.51
2024-11-22,Sofa,Furniture,North,56.91,41.62
2024-08-04,Jeans,Apparel,West,1143.77,610.27
2024-12-28,Air Fryer,Kitchen,North,1677.46,1131.87
2024-01-25,Sofa,Furniture,East,1803.01,1332.13
2024-04-23,Blender,Kitchen,South,1350.52,818.56
2024-07-04,Microwave,Kitchen,South,1855.24,1059.38
2024-01-19,Air Fryer,Kitchen,West,98.33,70.89
2024-12-29,Blender,Kitchen,East,360.44,256.05
2024-12-27,Jeans,Apparel,South,439.17,340.59
2024-11-02,Blender,Kitchen,South,96.15,53.65
2024-12-11,Sofa,Furniture,East,1300.89,806.43
2024-08-16,iPhone 13,Electronics,North,1760.22,1018.05
2024-04-02,iPhone 13,Electronics,North,1213.31,732.48
2024-06-27,Gaming Console,Electronics,North,801.13,539.14
2024-07-25,iPhone 13,Electronics,South,760.23,396.07
2024-04-13,Office Chair,Furniture,North,1453.52,857.72
2024-01-02,Running Shoes,Apparel,East,1131.1,630.65
2024-06-07,Air Fryer,Kitchen,East,841.85,631.49
2024-02-18,Microwave,Kitchen,East,956.73,605.27
2024-03-22,Air Fryer,Kitchen,North,603.38,421.86
2024-03-08,Blender,Kitchen,East,488.05,273.18
2024-01-11,Jeans,Apparel,North,938.06,718.4
2024-04-15,Running Shoes,Apparel,West,829.32,451.38
2024-04-27,Samsung TV,Electronics,West,476.74,353.38
2024-01-07,Gaming Console,Electronics,South,1839.07,986.49
2024-04-19,Gaming Console,Electronics,East,1902.58,1460.09
2024-09-26,Gaming Console,Electronics,West,1669.61,1109.22
2024-04-21,Jeans,Apparel,West,555.42,318.91
2024-07-31,Gaming Console,Electronics,West,1272.16,740.88
2024-10-09,Sofa,Furniture,East,673.43,445.84
2024-08-11,Air Fryer,Kitchen,South,175.25,109.05
2024-08-08,Blender,Kitchen,West,809.48,N/A
2024-11-23,Microwave,Kitchen,West,980.11,767.25
2024-02-05,Running Shoes,Apparel,South,1002.05,583.07
2024-06-10,Running Shoes,Apparel,South,1688.99,1310.42
2024-06-14,Running Shoes,Apparel,North,213.7,134.33
